TransactionID;Date;Amount;Currency;Description
T0073;2023-03-16;208.13;USD;Transaction;73
T0074;2023-04-21;303.97;GBP;Transaction;74
T0075;2023-11-18;468.25;EUR;Transaction;75
T0076;2023-10-27;406.2;CAD;Transaction;76
T0077;2023-08-18;715.55;CAD;Transaction;77
T0078;2023-03-28;859.49;USD;Transaction;78
T0079;2023-05-09;606.03;CAD;Transaction;79
T0080;2023-07-04;565.26;EUR;Transaction;80
T0081;2023-12-19;404.88;CAD;Transaction;81
T0082;2023-11-21;133.16;EUR;Transaction;82
T0083;2023-04-26;286.52;CAD;Transaction;83
T0084;2023-04-24;732.15;CAD;Transaction;84
T0085;2023-04-14;142.06;GBP;Transaction;85
T0086;2023-12-28;299.46;CAD;Transaction;86
T0087;2023-06-12;408.35;GBP;Transaction;87
T0088;2023-08-19;212.52;USD;Transaction;88
T0089;2023-12-03;671.54;USD;Transaction;89
T0090;2023-11-09;707.88;EUR;Transaction;90
T0091;2023-06-02;448.16;EUR;Transaction;91
T0092;2023-01-28;576.85;USD;Transaction;92
T0093;2023-12-04;411.9;GBP;Transaction;93
T0094;2023-12-11;609.4;GBP;Transaction;94
T0095;2023-05-17;139.3;CAD;Transaction;95
T0096;2023-10-13;596.02;USD;Transaction;96
T0097;2023-09-01;200.99;USD;Transaction;97
T0098;2023-12-07;971.78;GBP;Transaction;98
T0099;2023-03-26;493.56;GBP;Transaction;99
T0100;2023-08-07;602.67;CAD;Transaction;100
T0101;2023-08-01;984.29;USD;Transaction;101
T0102;2023-03-28;842.59;USD;Transaction;102
T0103;2023-09-11;376.92;CAD;Transaction;103
T0104;2023-11-16;743.54;USD;Transaction;104
T0105;2023-03-06;199.34;CAD;Transaction;105
T0106;2023-09-25;703.04;EUR;Transaction;106
T0107;2023-07-09;130.0;USD;Transaction;107
T0108;2023-04-07;767.59;USD;Transaction;108
T0109;2023-11-27;518.56;EUR;Transaction;109
T0110;2023-06-28;220.28;USD;Transaction;110
T0111;2023-04-18;381.49;CAD;Transaction;111
T0112;2023-09-07;610.08;EUR;Transaction;112
T0113;2023-02-23;611.86;EUR;Transaction;113
T0114;2023-06-26;973.8;USD;Transaction;114
T0115;2023-05-16;122.03;CAD;Transaction;115
T0116;2023-08-05;968.35;CAD;Transaction;116
T0117;2023-02-13;646.11;CAD;Transaction;117
T0118;2023-09-16;383.57;CAD;Transaction;118
T0119;2023-03-07;367.4;GBP;Transaction;119
T0120;2023-04-19;561.5;EUR;Transaction;120
T0121;2023-02-06;411.58;EUR;Transaction;121
T0122;2023-07-16;202.19;CAD;Transaction;122
T0123;2023-08-22;202.07;CAD;Transaction;123
T0124;2023-11-02;470.59;USD;Transaction;124
T0125;2023-12-11;305.72;GBP;Transaction;125
T0126;2023-08-11;662.23;GBP;Transaction;126
T0127;2023-08-04;257.49;USD;Transaction;127
T0128;2023-01-24;962.08;CAD;Transaction;128
T0129;2023-10-15;177.45;USD;Transaction;129
T0130;2023-09-19;955.08;USD;Transaction;130
T0131;2023-02-20;859.67;EUR;Transaction;131
T0132;2023-12-13;841.9;EUR;Transaction;132
T0133;2023-06-27;235.4;GBP;Transaction;133
T0134;2023-01-07;56.04;EUR;Transaction;134
T0135;2023-02-19;301.89;USD;Transaction;135
T0136;2023-03-23;196.18;EUR;Transaction;136
T0137;2023-11-19;483.48;EUR;Transaction;137
T0138;2023-03-04;148.82;CAD;Transaction;138
T0139;2023-09-05;633.33;EUR;Transaction;139
T0140;2023-05-06;932.45;USD;Transaction;140
T0141;2023-03-17;285.77;EUR;Transaction;141
T0142;2023-09-02;71.99;USD;Transaction;142
T0143;2023-10-15;390.47;USD;Transaction;143
T0144;2023-09-17;911.18;GBP;Transaction;144
T0145;2023-10-18;823.11;GBP;Transaction;145
T0146;2023-10-14;733.04;CAD;Transaction;146
T0147;2023-03-13;296.46;EUR;Transaction;147
T0148;2023-04-25;396.27;CAD;Transaction;148
T0149;2023-09-18;200.27;EUR;Transaction;149
T0150;2023-07-21;458.66;EUR;Transaction;150
T0151;2023-12-22;412.95;EUR;Transaction;151
T0152;2023-02-14;591.5;EUR;Transaction;152
T0153;2023-03-27;115.13;GBP;Transaction;153
T0154;2023-05-07;41.81;GBP;Transaction;154
T0155;2023-05-06;792.91;USD;Transaction;155
T0156;2023-05-22;128.14;CAD;Transaction;156
T0157;2023-03-26;160.21;USD;Transaction;157
T0158;2023-02-26;718.41;EUR;Transaction;158
T0159;2023-08-02;789.17;CAD;Transaction;159
T0160;2023-09-27;446.96;CAD;Transaction;160
T0161;2023-11-18;776.79;CAD;Transaction;161
T0162;2023-12-27;632.24;USD;Transaction;162
T0163;2023-11-24;698.34;CAD;Transaction;163
T0164;2023-10-22;489.74;CAD;Transaction;164
T0165;2023-06-05;678.24;CAD;Transaction;165
T0166;2023-08-28;799.7;CAD;Transaction;166
T0167;2023-02-02;814.84;CAD;Transaction;167
T0168;2023-08-15;162.53;USD;Transaction;168
T0169;2023-01-05;329.58;GBP;Transaction;169
T0170;2023-02-14;800.01;CAD;Transaction;170
T0171;2023-06-21;842.76;EUR;Transaction;171
T0172;2023-10-20;468.03;GBP;Transaction;172
T0173;2023-05-15;825.36;USD;Transaction;173
T0174;2023-09-19;809.77;CAD;Transaction;174
T0175;2023-03-10;66.28;CAD;Transaction;175
T0176;2023-03-25;740.37;GBP;Transaction;176
T0177;2023-09-20;965.88;USD;Transaction;177
T0178;2023-06-14;121.78;USD;Transaction;178
T0179;2023-02-11;564.09;EUR;Transaction;179
T0180;2023-03-23;292.97;CAD;Transaction;180
T0181;2023-03-13;741.78;EUR;Transaction;181
T0182;2023-05-20;388.35;EUR;Transaction;182
T0183;2023-01-18;758.03;USD;Transaction;183
T0184;2023-05-02;364.86;GBP;Transaction;184
T0185;2023-06-28;315.28;GBP;Transaction;185
T0186;2023-11-11;763.56;GBP;Transaction;186
T0187;2023-03-02;181.67;CAD;Transaction;187
T0188;2023-10-04;604.57;CAD;Transaction;188
T0189;2023-02-28;576.53;EUR;Transaction;189
T0190;2023-05-19;294.54;USD;Transaction;190
T0191;2023-03-18;250.83;GBP;Transaction;191
T0192;2023-10-25;878.43;EUR;Transaction;192
T0193;2023-08-24;300.72;USD;Transaction;193
T0194;2023-04-07;276.04;EUR;Transaction;194
T0195;2023-06-28;223.85;EUR;Transaction;195
T0196;2023-10-21;959.35;GBP;Transaction;196
T0197;2023-01-01;115.9;CAD;Transaction;197
T0198;2023-05-11;345.71;GBP;Transaction;198
T0199;2023-12-19;429.04;USD;Transaction;199
T0200;2023-12-10;798.23;CAD;Transaction;200
T0201;2023-02-10;864.06;USD;Transaction;201
T0202;2023-07-18;160.46;USD;Transaction;202
T0203;2023-01-08;898.08;GBP;Transaction;203
T0204;2023-10-06;485.93;EUR;Transaction;204
T0205;2023-07-16;608.6;GBP;Transaction;205
T0206;2023-04-27;259.3;EUR;Transaction;206
T0207;2023-06-20;364.06;EUR;Transaction;207
T0208;2023-07-10;596.82;CAD;Transaction;208
T0209;2023-07-11;532.58;EUR;Transaction;209
T0210;2023-01-13;455.16;GBP;Transaction;210
T0211;2023-06-24;70.85;EUR;Transaction;211
T0212;2023-11-20;910.82;GBP;Transaction;212
T0213;2023-09-03;672.3;GBP;Transaction;213
T0214;2023-09-14;506.44;EUR;Transaction;214
T0215;2023-04-02;33.53;GBP;Transaction;215
T0216;2023-09-09;326.39;CAD;Transaction;216
T0217;2023-09-20;452.4;USD;Transaction;217
T0218;2023-10-06;875.72;GBP;Transaction;218
T0219;2023-12-19;243.19;CAD;Transaction;219
T0220;2023-05-21;638.11;EUR;Transaction;220
T0221;2023-06-25;740.16;GBP;Transaction;221
T0222;2023-03-03;708.2;EUR;Transaction;222
T0223;2023-06-17;564.33;GBP;Transaction;223
T0224;2023-09-13;268.07;EUR;Transaction;224
T0225;2023-02-04;745.88;USD;Transaction;225
T0226;2023-01-11;921.18;GBP;Transaction;226
T0227;2023-05-15;730.38;USD;Transaction;227
T0228;2023-10-01;482.32;USD;Transaction;228
T0229;2023-08-15;560.54;EUR;Transaction;229
T0230;2023-08-26;103.69;CAD;Transaction;230
T0231;2023-09-02;68.73;CAD;Transaction;231
T0232;2023-09-23;593.28;CAD;Transaction;232
T0233;2023-09-08;852.94;CAD;Transaction;233
T0234;2023-03-15;142.19;GBP;Transaction;234
T0235;2023-12-15;695.28;GBP;Transaction;235
T0236;2023-12-04;729.9;USD;Transaction;236
T0237;2023-10-08;380.06;EUR;Transaction;237
T0238;2023-04-23;854.17;CAD;Transaction;238
T0239;2023-12-26;714.6;CAD;Transaction;239
T0240;2023-02-07;681.35;GBP;Transaction;240
T0241;2023-04-17;250.94;GBP;Transaction;241
T0242;2023-01-11;756.44;CAD;Transaction;242
T0243;2023-12-03;577.47;GBP;Transaction;243
T0244;2023-10-06;606.52;USD;Transaction;244
T0245;2023-07-03;823.43;EUR;Transaction;245
T0246;2023-09-03;779.55;EUR;Transaction;246
T0247;2023-01-16;260.3;GBP;Transaction;247
T0248;2023-09-20;436.08;GBP;Transaction;248
T0249;2023-02-16;331.53;GBP;Transaction;249
T0250;2023-01-26;919.7;EUR;Transaction;250
T0251;2023-08-14;280.39;CAD;Transaction;251
T0252;2023-06-27;209.87;CAD;Transaction;252
T0253;2023-06-21;154.09;GBP;Transaction;253
T0254;2023-07-10;219.66;EUR;Transaction;254
T0255;2023-05-05;48.41;CAD;Transaction;255
T0256;2023-09-28;19.35;EUR;Transaction;256
T0257;2023-09-26;526.75;GBP;Transaction;257
T0258;2023-08-22;770.26;GBP;Transaction;258
T0259;2023-05-28;935.67;CAD;Transaction;259
T0260;2023-08-04;472.27;GBP;Transaction;260
T0261;2023-10-09;70.49;EUR;Transaction;261
T0262;2023-10-18;440.88;GBP;Transaction;262
T0263;2023-09-02;794.73;CAD;Transaction;263
T0264;2023-09-28;49.32;GBP;Transaction;264
T0265;2023-08-26;820.4;CAD;Transaction;265
T0266;2023-07-08;81.63;USD;Transaction;266
T0267;2023-09-04;911.5;USD;Transaction;267
T0268;2023-12-15;224.93;EUR;Transaction;268
T0269;2023-04-08;464.21;CAD;Transaction;269
T0270;2023-12-27;746.48;CAD;Transaction;270
T0271;2023-03-16;227.26;EUR;Transaction;271
T0272;2023-04-05;58.07;GBP;Transaction;272
T0273;2023-09-21;289.93;EUR;Transaction;273
T0274;2023-04-16;585.35;GBP;Transaction;274
T0275;2023-09-22;718.96;EUR;Transaction;275
T0276;2023-06-26;570.16;USD;Transaction;276
T0277;2023-11-03;600.01;EUR;Transaction;277
T0278;2023-12-06;788.01;USD;Transaction;278
T0279;2023-09-21;925.69;USD;Transaction;279
T0280;2023-07-07;512.73;CAD;Transaction;280
T0281;2023-06-27;728.2;CAD;Transaction;281
T0282;2023-08-22;405.08;EUR;Transaction;282
T0283;2023-04-05;945.76;USD;Transaction;283
T0284;2023-09-23;69.6;EUR;Transaction;284
T0285;2023-04-24;911.2;CAD;Transaction;285
T0286;2023-11-02;512.98;USD;Transaction;286
T0287;2023-06-10;632.06;EUR;Transaction;287
T0288;2023-10-11;763.73;EUR;Transaction;288
T0289;2023-03-07;325.85;CAD;Transaction;289
T0290;2023-07-12;868.72;USD;Transaction;290
T0291;2023-04-15;798.33;GBP;Transaction;291
T0292;2023-08-12;341.56;USD;Transaction;292
T0293;2023-09-17;142.57;USD;Transaction;293
T0294;2023-11-08;189.72;GBP;Transaction;294
T0295;2023-04-04;772.25;EUR;Transaction;295
T0296;2023-05-05;59.03;USD;Transaction;296
T0297;2023-08-01;702.87;USD;Transaction;297
T0298;2023-09-21;159.43;GBP;Transaction;298
T0299;2023-11-12;352.15;CAD;Transaction;299
T0300;2023-11-08;225.48;EUR;Transaction;300
T0301;2023-04-07;50.43;EUR;Transaction;301
T0302;2023-06-21;313.01;USD;Transaction;302
T0303;2023-06-13;719.9;CAD;Transaction;303
T0304;2023-06-15;209.99;USD;Transaction;304
T0305;2023-05-05;196.43;USD;Transaction;305
T0306;2023-05-20;85.68;USD;Transaction;306
T0307;2023-02-17;975.45;GBP;Transaction;307
T0308;2023-12-24;696.76;EUR;Transaction;308
T0309;2023-09-13;996.97;GBP;Transaction;309
T0310;2023-08-06;633.87;CAD;Transaction;310
T0311;2023-07-11;723.1;EUR;Transaction;311
T0312;2023-09-08;827.49;EUR;Transaction;312
T0313;2023-12-10;134.27;USD;Transaction;313
T0314;2023-07-15;954.09;EUR;Transaction;314
T0315;2023-05-25;891.19;GBP;Transaction;315
T0316;2023-08-01;58.51;CAD;Transaction;316
T0317;2023-02-11;545.76;GBP;Transaction;317
T0318;2023-11-02;174.0;CAD;Transaction;318
T0319;2023-02-28;601.9;GBP;Transaction;319
T0320;2023-07-14;281.8;EUR;Transaction;320
T0321;2023-08-25;62.27;CAD;Transaction;321
T0322;2023-02-07;477.18;EUR;Transaction;322
T0323;2023-09-25;605.67;GBP;Transaction;323
T0324;2023-09-17;660.11;CAD;Transaction;324
T0325;2023-02-04;185.2;GBP;Transaction;325
T0326;2023-02-21;190.6;USD;Transaction;326
T0327;2023-05-24;608.31;EUR;Transaction;327
T0328;2023-11-01;142.7;EUR;Transaction;328
T0329;2023-05-07;670.7;EUR;Transaction;329
T0330;2023-01-01;460.51;EUR;Transaction;330
T0331;2023-12-22;902.68;EUR;Transaction;331
T0332;2023-05-27;723.18;CAD;Transaction;332
T0333;2023-02-06;413.03;USD;Transaction;333
T0334;2023-03-03;274.93;CAD;Transaction;334
T0335;2023-09-28;964.8;GBP;Transaction;335
T0336;2023-07-23;38.85;GBP;Transaction;336
T0337;2023-01-13;390.05;GBP;Transaction;337
T0338;2023-07-16;973.48;USD;Transaction;338
T0339;2023-05-02;502.4;EUR;Transaction;339
T0340;2023-05-07;212.72;GBP;Transaction;340
T0341;2023-03-04;812.2;EUR;Transaction;341
T0342;2023-03-12;777.03;GBP;Transaction;342
T0343;2023-12-12;557.51;EUR;Transaction;343
T0344;2023-07-07;429.17;GBP;Transaction;344
T0345;2023-08-09;747.5;GBP;Transaction;345
T0346;2023-08-03;551.05;GBP;Transaction;346
T0347;2023-12-21;604.77;USD;Transaction;347
T0348;2023-10-06;637.56;CAD;Transaction;348
T0349;2023-02-08;784.83;USD;Transaction;349
T0350;2023-04-04;241.98;CAD;Transaction;350
T0351;2023-10-21;855.31;GBP;Transaction;351
T0352;2023-08-26;299.0;EUR;Transaction;352
T0353;2023-01-12;922.63;GBP;Transaction;353
T0354;2023-12-28;879.25;EUR;Transaction;354
T0355;2023-03-11;714.11;CAD;Transaction;355
T0356;2023-04-04;511.8;USD;Transaction;356
T0357;2023-08-07;712.83;EUR;Transaction;357
T0358;2023-03-19;893.06;GBP;Transaction;358
T0359;2023-01-15;362.17;EUR;Transaction;359
T0360;2023-05-03;36.87;EUR;Transaction;360
T0361;2023-08-21;74.66;USD;Transaction;361
T0362;2023-03-17;546.1;USD;Transaction;362
T0363;2023-03-02;794.65;USD;Transaction;363
T0364;2023-07-20;153.9;CAD;Transaction;364
T0365;2023-01-21;273.72;GBP;Transaction;365
T0366;2023-05-07;259.02;GBP;Transaction;366
T0367;2023-01-17;41.73;EUR;Transaction;367
T0368;2023-06-16;590.09;GBP;Transaction;368
T0369;2023-11-12;574.12;CAD;Transaction;369
T0370;2023-02-19;250.12;GBP;Transaction;370
T0371;2023-12-06;707.29;USD;Transaction;371
T0372;2023-12-16;377.85;USD;Transaction;372
T0373;2023-01-21;824.77;USD;Transaction;373
T0374;2023-02-22;26.57;USD;Transaction;374
T0375;2023-05-07;721.04;CAD;Transaction;375
T0376;2023-01-02;552.65;USD;Transaction;376
T0377;2023-09-17;920.98;GBP;Transaction;377
T0378;2023-04-16;214.93;EUR;Transaction;378
T0379;2023-06-28;783.02;GBP;Transaction;379
T0380;2023-04-07;841.51;EUR;Transaction;380
T0381;2023-08-27;62.37;USD;Transaction;381
T0382;2023-07-16;541.89;USD;Transaction;382
T0383;2023-11-24;866.75;CAD;Transaction;383
T0384;2023-12-07;690.48;USD;Transaction;384
T0385;2023-06-28;10.73;USD;Transaction;385
T0386;2023-05-25;439.05;USD;Transaction;386
T0387;2023-01-16;305.69;EUR;Transaction;387
T0388;2023-08-12;730.01;EUR;Transaction;388
T0389;2023-11-10;813.09;CAD;Transaction;389
T0390;2023-01-06;149.97;EUR;Transaction;390
T0391;2023-12-28;409.33;GBP;Transaction;391
T0392;2023-06-06;856.5;USD;Transaction;392
T0393;2023-02-18;569.31;EUR;Transaction;393
T0394;2023-12-17;994.86;EUR;Transaction;394
T0395;2023-10-05;499.36;USD;Transaction;395
T0396;2023-11-10;566.82;CAD;Transaction;396
T0397;2023-09-05;346.76;GBP;Transaction;397
T0398;2023-04-09;742.36;EUR;Transaction;398
T0399;2023-11-01;963.74;GBP;Transaction;399
T0400;2023-08-07;788.33;USD;Transaction;400
T0401;2023-11-13;71.88;CAD;Transaction;401
T0402;2023-05-08;521.73;GBP;Transaction;402
T0403;2023-04-04;466.04;EUR;Transaction;403
T0404;2023-02-12;731.24;CAD;Transaction;404
T0405;2023-12-18;293.23;GBP;Transaction;405
T0406;2023-09-24;85.59;EUR;Transaction;406
T0407;2023-02-14;142.24;GBP;Transaction;407
T0408;2023-10-25;376.95;GBP;Transaction;408
T0409;2023-07-22;990.22;GBP;Transaction;409
T0410;2023-04-20;512.96;USD;Transaction;410
T0411;2023-02-19;492.78;CAD;Transaction;411
T0412;2023-10-12;161.12;USD;Transaction;412
T0413;2023-11-11;190.29;CAD;Transaction;413
T0414;2023-11-04;540.29;USD;Transaction;414
T0415;2023-06-26;466.44;GBP;Transaction;415
T0416;2023-05-23;978.24;USD;Transaction;416
T0417;2023-04-25;226.42;CAD;Transaction;417
T0418;2023-10-12;237.92;GBP;Transaction;418
T0419;2023-08-24;784.03;EUR;Transaction;419
T0420;2023-07-15;834.16;GBP;Transaction;420
T0421;2023-08-26;46.51;EUR;Transaction;421
T0422;2023-02-05;733.5;EUR;Transaction;422
T0423;2023-02-26;766.06;CAD;Transaction;423
T0424;2023-08-08;520.4;CAD;Transaction;424
T0425;2023-06-05;35.51;EUR;Transaction;425
T0426;2023-04-05;808.63;GBP;Transaction;426
T0427;2023-05-23;886.79;USD;Transaction;427
T0428;2023-03-18;470.07;CAD;Transaction;428
T0429;2023-09-13;164.64;EUR;Transaction;429
T0430;2023-07-22;984.81;EUR;Transaction;430
T0431;2023-04-05;613.94;CAD;Transaction;431
T0432;2023-09-02;413.06;USD;Transaction;432
T0433;2023-03-05;688.24;EUR;Transaction;433
T0434;2023-01-01;436.75;USD;Transaction;434
T0435;2023-09-27;732.0;USD;Transaction;435
T0436;2023-08-21;268.22;CAD;Transaction;436
T0437;2023-10-12;389.22;GBP;Transaction;437
T0438;2023-11-12;103.16;GBP;Transaction;438
T0439;2023-04-07;161.36;GBP;Transaction;439
T0440;2023-06-20;548.42;EUR;Transaction;440
T0441;2023-10-06;582.25;GBP;Transaction;441
T0442;2023-03-08;73.15;USD;Transaction;442
T0443;2023-12-18;132.58;GBP;Transaction;443
T0444;2023-10-06;758.69;USD;Transaction;444
T0445;2023-12-11;150.84;CAD;Transaction;445
T0446;2023-02-25;283.14;EUR;Transaction;446
T0447;2023-02-06;653.77;GBP;Transaction;447
T0448;2023-09-19;707.28;CAD;Transaction;448
T0449;2023-02-27;979.9;USD;Transaction;449
T0450;2023-03-17;262.45;EUR;Transaction;450
T0451;2023-10-17;483.98;GBP;Transaction;451
T0452;2023-03-23;646.37;CAD;Transaction;452
T0453;2023-11-26;968.34;USD;Transaction;453
T0454;2023-12-19;634.87;USD;Transaction;454
T0455;2023-05-05;829.16;USD;Transaction;455
T0456;2023-05-06;157.75;CAD;Transaction;456
T0457;2023-09-11;10.72;USD;Transaction;457
T0458;2023-09-09;639.6;USD;Transaction;458
T0459;2023-07-19;404.16;CAD;Transaction;459
T0460;2023-05-22;883.02;CAD;Transaction;460
T0461;2023-04-12;903.55;USD;Transaction;461
T0462;2023-04-12;809.31;EUR;Transaction;462
T0463;2023-08-21;899.06;USD;Transaction;463
T0464;2023-04-28;183.37;EUR;Transaction;464
T0465;2023-10-09;15.06;USD;Transaction;465
T0466;2023-07-19;333.63;CAD;Transaction;466
T0467;2023-11-14;779.05;EUR;Transaction;467
T0468;2023-01-04;409.47;USD;Transaction;468
T0469;2023-11-23;870.35;EUR;Transaction;469
T0470;2023-12-22;817.92;USD;Transaction;470
T0471;2023-03-07;146.5;GBP;Transaction;471
T0472;2023-01-08;505.32;USD;Transaction;472
T0473;2023-03-06;769.45;GBP;Transaction;473
T0474;2023-06-01;128.89;EUR;Transaction;474
T0475;2023-10-15;65.78;GBP;Transaction;475
T0476;2023-08-26;471.46;EUR;Transaction;476
T0477;2023-11-26;851.83;CAD;Transaction;477
T0478;2023-01-26;764.93;EUR;Transaction;478
T0479;2023-05-04;589.83;USD;Transaction;479
T0480;2023-12-24;695.8;USD;Transaction;480
T0481;2023-08-27;286.13;GBP;Transaction;481
T0482;2023-11-17;318.54;GBP;Transaction;482
T0483;2023-01-07;559.97;USD;Transaction;483
T0484;2023-11-14;47.68;EUR;Transaction;484
T0485;2023-12-21;571.55;USD;Transaction;485
T0486;2023-09-04;666.07;USD;Transaction;486
T0487;2023-03-16;218.28;USD;Transaction;487
T0488;2023-08-21;319.21;GBP;Transaction;488
T0489;2023-05-09;275.65;USD;Transaction;489
T0490;2023-09-03;45.24;EUR;Transaction;490
T0491;2023-08-19;92.98;EUR;Transaction;491
T0492;2023-11-22;369.18;CAD;Transaction;492
T0493;2023-04-05;534.83;GBP;Transaction;493
T0494;2023-11-06;547.24;EUR;Transaction;494
T0495;2023-10-14;136.05;EUR;Transaction;495
T0496;2023-02-18;754.3;CAD;Transaction;496
T0497;2023-01-17;485.59;GBP;Transaction;497
T0498;2023-12-23;161.67;EUR;Transaction;498
T0499;2023-10-04;273.64;GBP;Transaction;499
T0500;2023-11-11;906.79;CAD;Transaction;500
T0501;2023-10-18;572.25;EUR;Transaction;501
T0502;2023-11-02;353.11;EUR;Transaction;502
T0503;2023-05-07;927.78;GBP;Transaction;503
T0504;2023-12-22;222.21;CAD;Transaction;504
T0505;2023-01-17;523.26;USD;Transaction;505
T0506;2023-09-28;380.36;EUR;Transaction;506
T0507;2023-01-01;118.86;EUR;Transaction;507
T0508;2023-01-14;574.95;EUR;Transaction;508
T0509;2023-03-08;704.34;GBP;Transaction;509
T0510;2023-05-22;91.89;GBP;Transaction;510
T0511;2023-02-16;942.19;EUR;Transaction;511
T0512;2023-10-10;951.67;USD;Transaction;512
T0513;2023-05-14;506.09;CAD;Transaction;513
T0514;2023-03-28;529.86;EUR;Transaction;514
T0515;2023-04-08;215.89;USD;Transaction;515
T0516;2023-08-11;474.75;GBP;Transaction;516
T0517;2023-02-18;405.05;GBP;Transaction;517
T0518;2023-09-09;944.48;GBP;Transaction;518
T0519;2023-05-20;361.28;USD;Transaction;519
T0520;2023-07-13;402.38;USD;Transaction;520
T0521;2023-02-08;227.87;EUR;Transaction;521
T0522;2023-03-13;438.36;USD;Transaction;522
T0523;2023-08-16;594.56;USD;Transaction;523
T0524;2023-08-24;748.56;CAD;Transaction;524
T0525;2023-02-26;553.8;USD;Transaction;525
T0526;2023-04-17;947.43;EUR;Transaction;526
T0527;2023-02-11;307.52;CAD;Transaction;527
T0528;2023-08-21;998.39;USD;Transaction;528
T0529;2023-05-20;418.32;CAD;Transaction;529
T0530;2023-09-26;56.35;GBP;Transaction;530
T0531;2023-04-21;800.91;GBP;Transaction;531
T0532;2023-10-20;379.7;USD;Transaction;532
T0533;2023-11-01;938.25;USD;Transaction;533
T0534;2023-12-05;467.21;CAD;Transaction;534
T0535;2023-02-05;97.57;CAD;Transaction;535
T0536;2023-03-03;215.43;GBP;Transaction;536
T0537;2023-05-01;324.01;GBP;Transaction;537
T0538;2023-05-20;806.2;USD;Transaction;538
T0539;2023-02-14;904.28;GBP;Transaction;539
T0540;2023-09-14;458.59;GBP;Transaction;540
T0541;2023-04-07;774.38;EUR;Transaction;541
T0542;2023-07-11;935.82;CAD;Transaction;542
